                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.94177,                0.65396,                 1.0402,                0.73365,                0.70798,                0.76155,                0.51124,                 1.1945,                0.71437,                 1.0521,               0.007657,               0.007657,               0.007657
                     74,                0.94935,                0.65277,                 1.0355,                0.73576,                0.71665,                0.75221,                0.49831,                 1.1882,                0.74265,                 1.0465,               0.007624,               0.007624,               0.007624
                     75,                0.93439,                0.64523,                 1.0357,                0.74146,                0.69595,                0.74813,                0.50479,                 1.1766,                0.73401,                 1.0483,               0.007591,               0.007591,               0.007591
                     76,                0.94822,                0.64723,                  1.039,                0.75627,                0.72371,                0.76615,                0.50875,                 1.1806,                0.71977,                  1.041,               0.007558,               0.007558,               0.007558
                     77,                0.93657,                0.64581,                 1.0357,                 0.7259,                 0.7485,                0.76429,                0.51238,                 1.1902,                0.73721,                 1.0516,               0.007525,               0.007525,               0.007525
                     78,                0.94907,                0.63882,                  1.029,                0.76061,                  0.718,                0.76543,                 0.5159,                 1.1873,                0.70633,                 1.0408,               0.007492,               0.007492,               0.007492
                     79,                0.93424,                0.64834,                 1.0321,                0.70987,                0.72441,                0.75284,                0.50804,                 1.1763,                0.71321,                 1.0369,               0.007459,               0.007459,               0.007459
                     80,                0.95235,                0.64272,                  1.023,                0.73503,                0.74623,                0.76017,                0.51399,                 1.1712,                0.71426,                 1.0413,               0.007426,               0.007426,               0.007426
                     81,                 0.9478,                0.64626,                 1.0363,                0.73344,                0.75681,                0.76722,                0.52011,                  1.184,                0.71736,                 1.0412,               0.007393,               0.007393,               0.007393
                     82,                0.93468,                0.63875,                  1.034,                0.75464,                0.70895,                0.76103,                0.51198,                 1.1775,                0.69436,                 1.0443,                0.00736,                0.00736,                0.00736
                     83,                0.95281,                0.64224,                 1.0332,                0.89205,                 0.7174,                0.77226,                0.52446,                 1.1713,                0.69956,                 1.0326,               0.007327,               0.007327,               0.007327
                     84,                0.93069,                0.62926,                 1.0285,                0.72829,                0.77565,                0.77792,                 0.5248,                 1.1692,                0.70576,                 1.0429,               0.007294,               0.007294,               0.007294
                     85,                0.92819,                0.62715,                 1.0288,                0.74138,                0.74468,                 0.7749,                0.52172,                 1.1664,                    0.7,                 1.0412,               0.007261,               0.007261,               0.007261
                     86,                0.92304,                0.63147,                 1.0292,                0.74851,                0.73548,                0.77112,                 0.5253,                  1.164,                0.69552,                 1.0314,               0.007228,               0.007228,               0.007228
                     87,                 0.9227,                0.62272,                 1.0229,                 0.7347,                0.73353,                0.76783,                0.51895,                 1.1737,                0.68956,                 1.0326,               0.007195,               0.007195,               0.007195
                     88,                0.94051,                0.63302,                 1.0293,                0.72358,                0.73218,                0.76595,                0.51938,                 1.1539,                0.69186,                 1.0265,               0.007162,               0.007162,               0.007162
                     89,                0.92923,                0.63009,                 1.0276,                0.73571,                0.74034,                0.76834,                 0.5226,                 1.1566,                 0.6966,                 1.0355,               0.007129,               0.007129,               0.007129
                     90,                0.93304,                0.62129,                 1.0225,                0.75609,                0.72619,                0.77551,                0.52497,                 1.1551,                0.68893,                 1.0327,               0.007096,               0.007096,               0.007096
                     91,                0.94008,                0.63187,                 1.0264,                0.70291,                0.77009,                0.77093,                0.52115,                  1.162,                0.69226,                 1.0327,               0.007063,               0.007063,               0.007063
                     92,                0.92657,                0.62261,                 1.0316,                0.75157,                0.74469,                0.77169,                0.51572,                 1.1663,                0.70895,                 1.0327,                0.00703,                0.00703,                0.00703
                     93,                0.91276,                0.61977,                 1.0218,                0.75256,                0.74308,                0.77387,                0.52475,                 1.1669,                0.67904,                 1.0293,               0.006997,               0.006997,               0.006997
                     94,                0.93324,                0.61834,                 1.0228,                0.75787,                0.72957,                0.77411,                0.52393,                 1.1632,                0.68381,                 1.0313,               0.006964,               0.006964,               0.006964
                     95,                 0.9317,                0.62078,                  1.019,                0.73425,                0.73806,                0.76752,                0.52157,                 1.1586,                0.67851,                 1.0276,               0.006931,               0.006931,               0.006931
                     96,                0.90416,                0.60739,                 1.0233,                0.73206,                 0.7352,                0.77069,                0.51879,                 1.1689,                 0.6822,                 1.0343,               0.006898,               0.006898,               0.006898
                     97,                0.91539,                0.61737,                 1.0196,                0.74688,                0.74157,                0.77875,                0.52432,                  1.164,                0.67394,                 1.0298,               0.006865,               0.006865,               0.006865
                     98,                0.92917,                0.61874,                 1.0158,                0.72066,                0.73857,                0.76689,                0.52667,                 1.1733,                0.69674,                 1.0283,               0.006832,               0.006832,               0.006832
                     99,                0.92593,                0.61994,                 1.0194,                0.71808,                0.74816,                0.77356,                0.52881,                  1.152,                0.67779,                 1.0294,               0.006799,               0.006799,               0.006799
                    100,                0.91991,                 0.6004,                 1.0191,                0.76252,                0.72826,                0.77124,                0.52993,                 1.1542,                0.65777,                 1.0306,               0.006766,               0.006766,               0.006766
                    101,                0.90307,                0.61009,                 1.0196,                0.72501,                0.76861,                0.77648,                0.52764,                 1.1514,                0.66075,                   1.02,               0.006733,               0.006733,               0.006733
                    102,                0.91692,                0.60301,                  1.011,                0.76595,                0.72267,                0.77821,                0.53227,                 1.1591,                0.67005,                 1.0198,                 0.0067,                 0.0067,                 0.0067
                    103,                0.89737,                0.59675,                 1.0146,                0.76086,                0.73939,                0.77951,                0.53219,                 1.1586,                 0.6666,                 1.0222,               0.006667,               0.006667,               0.006667
                    104,                0.90518,                0.61547,                 1.0187,                0.72286,                 0.7563,                0.77261,                0.52798,                 1.1609,                0.66667,                 1.0233,               0.006634,               0.006634,               0.006634
                    105,                0.91396,                0.60957,                 1.0201,                0.68582,                0.78231,                 0.7679,                0.53023,                 1.1492,                0.65486,                 1.0175,               0.006601,               0.006601,               0.006601
                    106,                0.91395,                0.61135,                 1.0146,                0.73821,                0.74718,                 0.7786,                0.53322,                 1.1502,                0.67209,                 1.0178,               0.006568,               0.006568,               0.006568
                    107,                0.89749,                0.60827,                 1.0168,                0.73426,                0.76019,                0.78154,                0.53312,                 1.1478,                0.65749,                 1.0206,               0.006535,               0.006535,               0.006535
                    108,                0.91129,                0.60489,                 1.0162,                0.72433,                0.73275,                0.77194,                0.53077,                 1.1483,                0.67168,                 1.0161,               0.006502,               0.006502,               0.006502
                    109,                0.90515,                0.60185,                 1.0077,                0.73839,                0.72438,                0.76748,                0.52833,                 1.1592,                0.66835,                 1.0264,               0.006469,               0.006469,               0.006469
                    110,                0.88797,                0.59319,                 1.0147,                0.69808,                0.75752,                0.76617,                0.52214,                 1.1583,                0.67721,                 1.0252,               0.006436,               0.006436,               0.006436
                    111,                 0.8882,                0.59392,                 1.0114,                0.72329,                0.74262,                0.77931,                0.53281,                 1.1476,                0.66309,                   1.02,               0.006403,               0.006403,               0.006403
                    112,                0.90752,                0.59759,                 1.0132,                0.74126,                0.74779,                0.77891,                0.53569,                 1.1537,                0.66103,                 1.0219,                0.00637,                0.00637,                0.00637
                    113,                0.90632,                0.60686,                 1.0143,                0.73802,                0.74287,                0.77934,                0.53204,                 1.1471,                0.65214,                 1.0179,               0.006337,               0.006337,               0.006337
                    114,                0.91554,                0.59831,                 1.0103,                0.74955,                0.74414,                0.77747,                0.53467,                 1.1496,                 0.6535,                 1.0139,               0.006304,               0.006304,               0.006304
                    115,                0.90392,                0.59812,                 1.0112,                0.72905,                0.76552,                0.77935,                0.53141,                 1.1533,                0.64952,                 1.0216,               0.006271,               0.006271,               0.006271
                    116,                0.90114,                0.59823,                 1.0067,                0.71144,                0.76802,                0.76603,                0.52901,                 1.1477,                0.65341,                 1.0168,               0.006238,               0.006238,               0.006238
                    117,                0.90572,                0.59998,                 1.0125,                0.70968,                0.76357,                0.76092,                0.52736,                  1.154,                0.65325,                  1.021,               0.006205,               0.006205,               0.006205
                    118,                0.90871,                0.60243,                 1.0153,                0.71625,                0.73303,                0.76412,                0.52859,                 1.1529,                0.64573,                 1.0225,               0.006172,               0.006172,               0.006172
                    119,                0.89419,                0.57897,                 1.0058,                0.71531,                 0.7378,                0.76943,                0.53106,                 1.1533,                0.63876,                 1.0176,               0.006139,               0.006139,               0.006139
                    120,                0.89537,                0.59517,                 1.0087,                0.73917,                0.75765,                0.78255,                0.53563,                 1.1521,                 0.6439,                 1.0212,               0.006106,               0.006106,               0.006106
                    121,                0.88496,                0.58898,                 1.0138,                0.69415,                0.76271,                0.76526,                0.53046,                 1.1543,                0.65856,                 1.0228,               0.006073,               0.006073,               0.006073
                    122,                0.88811,                 0.5855,                 1.0094,                0.71277,                0.74983,                0.76296,                0.52635,                 1.1562,                0.66187,                 1.0268,                0.00604,                0.00604,                0.00604
                    123,                0.91113,                0.59388,                 1.0109,                0.69839,                0.74544,                0.76113,                0.52781,                 1.1536,                0.66044,                 1.0182,               0.006007,               0.006007,               0.006007
                    124,                0.90503,                0.59846,                  1.016,                0.72611,                0.72024,                0.76861,                0.52929,                 1.1467,                  0.664,                 1.0187,               0.005974,               0.005974,               0.005974
                    125,                0.88733,                0.58989,                  1.012,                0.69962,                0.76242,                0.77474,                0.53397,                 1.1499,                0.65032,                 1.0178,               0.005941,               0.005941,               0.005941
                    126,                0.88791,                0.58934,                 1.0033,                0.71904,                 0.7475,                0.76786,                0.53315,                 1.1535,                0.65677,                 1.0208,               0.005908,               0.005908,               0.005908
                    127,                0.90067,                0.58678,                 1.0089,                0.71307,                0.75916,                0.77341,                0.53484,                 1.1449,                0.64005,                 1.0159,               0.005875,               0.005875,               0.005875
                    128,                0.89299,                0.58066,                 1.0073,                0.71441,                 0.7477,                0.76572,                0.53421,                 1.1457,                0.64133,                 1.0154,               0.005842,               0.005842,               0.005842
                    129,                 0.8983,                0.58488,                  1.009,                0.71846,                0.73718,                0.76816,                0.53426,                 1.1476,                0.64622,                 1.0197,               0.005809,               0.005809,               0.005809
                    130,                0.89261,                0.58158,                 1.0071,                0.72237,                0.74641,                0.77209,                0.53377,                 1.1526,                0.64525,                 1.0228,               0.005776,               0.005776,               0.005776
                    131,                0.89545,                 0.5841,                  1.001,                0.70844,                0.76638,                0.77005,                  0.533,                 1.1447,                0.63849,                 1.0205,               0.005743,               0.005743,               0.005743
                    132,                0.87073,                0.57448,                 1.0005,                 0.7183,                 0.7479,                0.77222,                0.53324,                 1.1466,                0.64433,                 1.0174,                0.00571,                0.00571,                0.00571
                    133,                0.89071,                0.57611,                0.99946,                0.71197,                0.76199,                0.77874,                0.53645,                  1.152,                0.65378,                 1.0169,               0.005677,               0.005677,               0.005677
                    134,                0.89743,                0.58825,                 1.0035,                0.73682,                0.73313,                0.77742,                0.53605,                   1.15,                0.64315,                  1.017,               0.005644,               0.005644,               0.005644
                    135,                0.89206,                0.58848,                0.99947,                0.70942,                0.76748,                0.77046,                0.53412,                 1.1563,                0.63572,                 1.0181,               0.005611,               0.005611,               0.005611
                    136,                0.88571,                0.59126,                 1.0043,                0.71253,                0.75618,                0.76243,                0.52969,                 1.1521,                0.63903,                 1.0175,               0.005578,               0.005578,               0.005578
                    137,                0.87968,                0.57457,                 1.0014,                0.71979,                0.73511,                0.76296,                0.53321,                 1.1454,                0.64115,                 1.0164,               0.005545,               0.005545,               0.005545
                    138,                 0.8891,                0.58084,                  1.004,                0.71893,                0.75716,                0.77182,                0.53631,                 1.1457,                0.64856,                 1.0166,               0.005512,               0.005512,               0.005512
                    139,                0.87673,                 0.5654,                0.99284,                0.71656,                 0.7478,                0.76968,                0.53463,                 1.1451,                0.65074,                   1.02,               0.005479,               0.005479,               0.005479
                    140,                0.89911,                0.58127,                0.99866,                0.70975,                0.77115,                0.77247,                0.53532,                 1.1463,                0.64831,                 1.0174,               0.005446,               0.005446,               0.005446
                    141,                0.89796,                0.57443,                 1.0011,                0.87336,                0.72672,                0.77365,                0.53468,                 1.1442,                0.63817,                 1.0152,               0.005413,               0.005413,               0.005413
                    142,                0.88979,                0.57301,                0.99776,                0.72607,                0.73692,                0.76831,                0.53366,                  1.138,                0.63745,                 1.0143,                0.00538,                0.00538,                0.00538
                    143,                    0.9,                 0.5746,                0.99983,                0.71924,                0.73436,                  0.769,                0.53153,                 1.1406,                0.63911,                 1.0152,               0.005347,               0.005347,               0.005347
                    144,                0.88466,                0.57254,                0.99845,                0.69406,                0.76408,                0.76662,                 0.5326,                 1.1362,                0.63679,                 1.0091,               0.005314,               0.005314,               0.005314
                    145,                0.87286,                0.57099,                0.99918,                0.69219,                0.77019,                0.76457,                0.52761,                  1.142,                0.64424,                 1.0121,               0.005281,               0.005281,               0.005281
                    146,                0.88731,                0.57393,                0.99832,                0.68877,                0.77852,                0.76474,                0.53071,                 1.1507,                0.64591,                 1.0161,               0.005248,               0.005248,               0.005248
                    147,                0.89065,                 0.5755,                0.99936,                0.71367,                0.75877,                0.77613,                0.53509,                 1.1469,                0.63759,                 1.0189,               0.005215,               0.005215,               0.005215
                    148,                0.87543,                0.56875,                0.99115,                0.72061,                0.75502,                0.77936,                0.53589,                 1.1482,                0.64056,                 1.0141,               0.005182,               0.005182,               0.005182
                    149,                0.88245,                0.55843,                0.99746,                0.71266,                  0.778,                0.78307,                0.54175,                 1.1423,                0.63638,                   1.01,               0.005149,               0.005149,               0.005149
                    150,                0.88352,                0.58074,                0.99712,                0.72515,                0.76397,                0.78096,                0.53998,                  1.146,                0.63731,                 1.0123,               0.005116,               0.005116,               0.005116
                    151,                 0.9032,                 0.5763,                0.99105,                0.71615,                0.77231,                 0.7846,                0.54303,                 1.1452,                0.63395,                  1.014,               0.005083,               0.005083,               0.005083
                    152,                0.87311,                0.56099,                0.99087,                0.73769,                0.76903,                0.78501,                 0.5444,                 1.1408,                0.63298,                 1.0085,                0.00505,                0.00505,                0.00505
                    153,                0.88054,                0.56211,                0.99252,                0.72988,                0.76082,                 0.7746,                 0.5353,                 1.1448,                0.63454,                 1.0097,               0.005017,               0.005017,               0.005017
                    154,                0.86741,                0.56637,                0.99118,                0.72543,                0.75818,                0.77673,                0.54014,                 1.1428,                0.63957,                 1.0083,               0.004984,               0.004984,               0.004984
                    155,                0.88884,                0.57671,                 1.0012,                0.69645,                0.76978,                 0.7736,                0.53699,                 1.1401,                0.63458,                 1.0063,               0.004951,               0.004951,               0.004951
                    156,                0.87732,                0.55681,                0.98988,                0.71318,                0.77365,                0.77627,                0.53902,                 1.1416,                0.63732,                 1.0082,               0.004918,               0.004918,               0.004918
                    157,                0.86698,                0.55857,                0.99017,                0.72017,                0.76062,                0.77607,                0.54082,                 1.1442,                0.64071,                 1.0094,               0.004885,               0.004885,               0.004885
